,eDNA1,eDNA18,eDNA19,eDNA25,eDNA26,eDNA27,eDNA28,eDNA3,eDNA4,eDNA6,eDNA7,eDNA9,eDNA15,eDNA16,eDNA17
eDNA1,0.0,,,,,,,,,,,,,,
eDNA18,345.25,0.0,234.75,,,,,280.75,282.0,,,,,235.0,93.75
eDNA19,,145.0,0.0,,,,,270.75,255.25,,,224.75,206.5,275.75,58.75
eDNA25,,,,0.0,137.0,,,,,,,,,,
eDNA26,,,,,0.0,147.75,,,,,,,,,
eDNA27,,,,,,0.0,,,,,,,,,
eDNA28,,,,,,,0.0,,,,,,,,
eDNA3,23.25,,,,,,,0.0,16.75,,,,,,
eDNA4,,,,,,,,,0.0,,,,,,
eDNA6,,,,,,,,,,0.0,9.0,66.25,,,
eDNA7,,,,,,,,,,100.0,0.0,54.0,,,
eDNA9,108.75,,,,,,,,,,,0.0,,,
eDNA15,338.75,,,,,,,,,,,,0.0,56.0,
eDNA16,,,,,,,,,,,,,,0.0,
eDNA17,,,,,,,,,,,,,238.5,106.75,0.0
