source,sink,connectivity,min_days,source_lon,source_lat,sink_lon,sink_lat
eDNA1,eDNA3,0.9183673469387755,14.25,-77.936917,29.3007,-75.508383,30.658967
eDNA1,eDNA4,0.5918367346938775,27.25,-77.936917,29.3007,-74.85995,31.189233
eDNA1,eDNA6,0.08163265306122448,235.75,-77.936917,29.3007,-69.329683,31.755633
eDNA1,eDNA7,0.02040816326530612,261.5,-77.936917,29.3007,-67.287833,31.824817
eDNA1,eDNA15,0.02040816326530612,295.5,-77.936917,29.3007,-44.0762,34.2134
eDNA18,eDNA16,0.02040816326530612,193.5,-34.595667,35.790433,-40.685317,34.550283
eDNA18,eDNA17,1.0,20.75,-34.595667,35.790433,-37.395217,35.448667
eDNA19,eDNA18,0.4489795918367347,28.75,-32.055683,36.996267,-34.595667,35.790433
eDNA19,eDNA25,0.04081632653061224,330.75,-32.055683,36.996267,-17.887783,35.897133
eDNA19,eDNA17,0.04081632653061224,114.5,-32.055683,36.996267,-37.395217,35.448667
eDNA25,eDNA26,0.08163265306122448,171.0,-17.887783,35.897133,-14.5402,36.136333
eDNA25,eDNA27,0.04081632653061224,167.75,-17.887783,35.897133,-11.687733,36.25035
eDNA26,eDNA25,0.5102040816326531,44.5,-14.5402,36.136333,-17.887783,35.897133
eDNA27,eDNA25,0.02040816326530612,328.25,-11.687733,36.25035,-17.887783,35.897133
eDNA27,eDNA28,0.02040816326530612,165.75,-11.687733,36.25035,-7.874533,36.0788
eDNA3,eDNA1,0.14285714285714285,106.0,-75.508383,30.658967,-77.936917,29.3007
eDNA3,eDNA4,0.6326530612244898,12.5,-75.508383,30.658967,-74.85995,31.189233
eDNA3,eDNA6,0.10204081632653061,85.25,-75.508383,30.658967,-69.329683,31.755633
eDNA3,eDNA7,0.12244897959183673,78.0,-75.508383,30.658967,-67.287833,31.824817
eDNA3,eDNA9,0.04081632653061224,130.25,-75.508383,30.658967,-62.128333,31.99925
eDNA3,eDNA15,0.02040816326530612,354.5,-75.508383,30.658967,-44.0762,34.2134
eDNA4,eDNA1,0.14285714285714285,100.25,-74.85995,31.189233,-77.936917,29.3007
eDNA4,eDNA3,0.7551020408163265,14.0,-74.85995,31.189233,-75.508383,30.658967
eDNA4,eDNA6,0.061224489795918366,146.0,-74.85995,31.189233,-69.329683,31.755633
eDNA4,eDNA7,0.16326530612244897,68.25,-74.85995,31.189233,-67.287833,31.824817
eDNA4,eDNA9,0.04081632653061224,264.75,-74.85995,31.189233,-62.128333,31.99925
eDNA4,eDNA15,0.02040816326530612,230.0,-74.85995,31.189233,-44.0762,34.2134
eDNA4,eDNA17,0.02040816326530612,335.75,-74.85995,31.189233,-37.395217,35.448667
eDNA6,eDNA1,0.10204081632653061,149.0,-69.329683,31.755633,-77.936917,29.3007
eDNA6,eDNA18,0.02040816326530612,340.75,-69.329683,31.755633,-34.595667,35.790433
eDNA6,eDNA19,0.02040816326530612,352.0,-69.329683,31.755633,-32.055683,36.996267
eDNA6,eDNA3,0.16326530612244897,101.75,-69.329683,31.755633,-75.508383,30.658967
eDNA6,eDNA4,0.14285714285714285,100.25,-69.329683,31.755633,-74.85995,31.189233
eDNA6,eDNA7,0.061224489795918366,136.0,-69.329683,31.755633,-67.287833,31.824817
eDNA6,eDNA9,0.04081632653061224,225.25,-69.329683,31.755633,-62.128333,31.99925
eDNA6,eDNA16,0.04081632653061224,261.25,-69.329683,31.755633,-40.685317,34.550283
eDNA6,eDNA17,0.04081632653061224,321.75,-69.329683,31.755633,-37.395217,35.448667
eDNA7,eDNA1,0.04081632653061224,145.25,-67.287833,31.824817,-77.936917,29.3007
eDNA7,eDNA3,0.061224489795918366,120.5,-67.287833,31.824817,-75.508383,30.658967
eDNA7,eDNA4,0.10204081632653061,99.5,-67.287833,31.824817,-74.85995,31.189233
eDNA7,eDNA6,0.22448979591836735,68.0,-67.287833,31.824817,-69.329683,31.755633
eDNA7,eDNA9,0.16326530612244897,107.75,-67.287833,31.824817,-62.128333,31.99925
eDNA9,eDNA3,0.04081632653061224,236.25,-62.128333,31.99925,-75.508383,30.658967
eDNA9,eDNA4,0.061224489795918366,184.75,-62.128333,31.99925,-74.85995,31.189233
eDNA9,eDNA6,0.08163265306122448,172.5,-62.128333,31.99925,-69.329683,31.755633
eDNA9,eDNA7,0.2653061224489796,100.5,-62.128333,31.99925,-67.287833,31.824817
eDNA9,eDNA15,0.02040816326530612,323.5,-62.128333,31.99925,-44.0762,34.2134
eDNA9,eDNA16,0.04081632653061224,214.5,-62.128333,31.99925,-40.685317,34.550283
eDNA15,eDNA18,0.12244897959183673,225.5,-44.0762,34.2134,-34.595667,35.790433
eDNA15,eDNA19,0.02040816326530612,297.0,-44.0762,34.2134,-32.055683,36.996267
eDNA15,eDNA16,0.6122448979591837,72.5,-44.0762,34.2134,-40.685317,34.550283
eDNA15,eDNA17,0.02040816326530612,235.25,-44.0762,34.2134,-37.395217,35.448667
eDNA16,eDNA18,0.14285714285714285,219.5,-40.685317,34.550283,-34.595667,35.790433
eDNA16,eDNA15,0.04081632653061224,257.75,-40.685317,34.550283,-44.0762,34.2134
eDNA17,eDNA18,0.5510204081632653,57.75,-37.395217,35.448667,-34.595667,35.790433
eDNA17,eDNA19,0.04081632653061224,100.0,-37.395217,35.448667,-32.055683,36.996267
eDNA17,eDNA25,0.02040816326530612,323.75,-37.395217,35.448667,-17.887783,35.897133
