,eDNA1,eDNA18,eDNA19,eDNA25,eDNA26,eDNA27,eDNA28,eDNA3,eDNA4,eDNA6,eDNA7,eDNA9,eDNA15,eDNA16,eDNA17
eDNA1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9183673469387755,0.5918367346938775,0.08163265306122448,0.02040816326530612,0.0,0.02040816326530612,0.0,0.0
eDNA18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,1.0
eDNA19,0.0,0.4489795918367347,1.0,0.04081632653061224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04081632653061224
eDNA25,0.0,0.0,0.0,1.0,0.08163265306122448,0.04081632653061224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eDNA26,0.0,0.0,0.0,0.5102040816326531,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eDNA27,0.0,0.0,0.0,0.02040816326530612,0.0,1.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eDNA28,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eDNA3,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6326530612244898,0.10204081632653061,0.12244897959183673,0.04081632653061224,0.02040816326530612,0.0,0.0
eDNA4,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.7551020408163265,1.0,0.061224489795918366,0.16326530612244897,0.04081632653061224,0.02040816326530612,0.0,0.02040816326530612
eDNA6,0.10204081632653061,0.02040816326530612,0.02040816326530612,0.0,0.0,0.0,0.0,0.16326530612244897,0.14285714285714285,1.0,0.061224489795918366,0.04081632653061224,0.0,0.04081632653061224,0.04081632653061224
eDNA7,0.04081632653061224,0.0,0.0,0.0,0.0,0.0,0.0,0.061224489795918366,0.10204081632653061,0.22448979591836735,1.0,0.16326530612244897,0.0,0.0,0.0
eDNA9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04081632653061224,0.061224489795918366,0.08163265306122448,0.2653061224489796,1.0,0.02040816326530612,0.04081632653061224,0.0
eDNA15,0.0,0.12244897959183673,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6122448979591837,0.02040816326530612
eDNA16,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04081632653061224,1.0,0.0
eDNA17,0.0,0.5510204081632653,0.04081632653061224,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
