,eDNA1,eDNA18,eDNA19,eDNA25,eDNA26,eDNA27,eDNA28,eDNA3,eDNA4,eDNA6,eDNA7,eDNA9,eDNA15,eDNA16,eDNA17
eDNA1,0.0,,,,,,,14.25,27.25,235.75,261.5,,295.5,,
eDNA18,,0.0,,,,,,,,,,,,193.5,20.75
eDNA19,,28.75,0.0,330.75,,,,,,,,,,,114.5
eDNA25,,,,0.0,171.0,167.75,,,,,,,,,
eDNA26,,,,44.5,0.0,,,,,,,,,,
eDNA27,,,,328.25,,0.0,165.75,,,,,,,,
eDNA28,,,,,,,0.0,,,,,,,,
eDNA3,106.0,,,,,,,0.0,12.5,85.25,78.0,130.25,354.5,,
eDNA4,100.25,,,,,,,14.0,0.0,146.0,68.25,264.75,230.0,,335.75
eDNA6,149.0,340.75,352.0,,,,,101.75,100.25,0.0,136.0,225.25,,261.25,321.75
eDNA7,145.25,,,,,,,120.5,99.5,68.0,0.0,107.75,,,
eDNA9,,,,,,,,236.25,184.75,172.5,100.5,0.0,323.5,214.5,
eDNA15,,225.5,297.0,,,,,,,,,,0.0,72.5,235.25
eDNA16,,219.5,,,,,,,,,,,257.75,0.0,
eDNA17,,57.75,100.0,323.75,,,,,,,,,,,0.0
