"station","date","lat","lon"
"eDNA1","2022-05-23",29.3007,-77.936917
"eDNA18","2022-06-09",35.790433,-34.595667
"eDNA19","2022-06-10",36.996267,-32.055683
"eDNA25","2022-06-23",35.897133,-17.887783
"eDNA26","2022-06-24",36.136333,-14.5402
"eDNA27","2022-06-25",36.25035,-11.687733
"eDNA28","2022-06-26",36.0788,-7.874533
"eDNA3","2022-05-25",30.658967,-75.508383
"eDNA4","2022-05-26",31.189233,-74.85995
"eDNA6","2022-05-28",31.755633,-69.329683
"eDNA7","2022-05-29",31.824817,-67.287833
"eDNA9","2022-05-31",31.99925,-62.128333
"eDNA15","2022-06-06",34.2134,-44.0762
"eDNA16","2022-06-07",34.550283,-40.685317
"eDNA17","2022-06-08",35.448667,-37.395217
