Sample_1,Sample_2,bNTI,RC_BC,Mechanism,Pair_A,Pair_B,module_bray,Zone_1,Temp_1,Lon_1,Zone_2,Temp_2,Lon_2,module_similarity,temp_diff,lon_diff,geographic_km,zone_pair,temp_bin
eDNA1,eDNA18,-2.11446102889511,1,Homogeneous Selection,eDNA1,eDNA18,0.6986587517556951,ANW,26.81560716032982,-77.936917,ANC,21.02490310370922,-34.595667,0.30134124824430486,5.790704056620598,43.341249999999995,4097.173610737512,ANC-ANW,"[4,6)"
eDNA1,eDNA19,-1.66789517095053,1,Dispersal Limitation,eDNA1,eDNA19,0.6940177417612798,ANW,26.81560716032982,-77.936917,ANC,20.126926481723785,-32.055683,0.30598225823872016,6.688680678606033,45.88123399999999,4318.94985893023,ANC-ANW,"[6,8)"
eDNA18,eDNA19,-3.02448031481236,-0.94,Homogeneous Selection,eDNA18,eDNA19,0.06382459376463925,ANC,21.02490310370922,-34.595667,ANC,20.126926481723785,-32.055683,0.9361754062353608,0.8979766219854355,2.539983999999997,264.2225378483971,ANC-ANC,"[0,1)"
eDNA1,eDNA25,-1.79593970960524,1,Dispersal Limitation,eDNA1,eDNA25,0.6425286651273823,ANW,26.81560716032982,-77.936917,ANE,19.737266153097153,-17.887783,0.35747133487261773,7.078341007232666,60.049133999999995,5592.148696260032,ANE-ANW,"[6,8)"
eDNA18,eDNA25,-2.68156009742998,-0.75,Homogeneous Selection,eDNA18,eDNA25,0.07793742460557337,ANC,21.02490310370922,-34.595667,ANE,19.737266153097153,-17.887783,0.9220625753944266,1.2876369506120682,16.707884,1505.881374342653,ANC-ANE,"[1,2)"
eDNA19,eDNA25,-4.11059812801625,-0.84,Homogeneous Selection,eDNA19,eDNA25,0.11785201344609922,ANC,20.126926481723785,-32.055683,ANE,19.737266153097153,-17.887783,0.8821479865539008,0.3896603286266327,14.167900000000003,1273.3814411618841,ANC-ANE,"[0,1)"
eDNA1,eDNA26,-1.49984343772777,1,Dispersal Limitation,eDNA1,eDNA26,0.6063442275001584,ANW,26.81560716032982,-77.936917,ANE,20.25656910985708,-14.5402,0.3936557724998416,6.55903805047274,63.396716999999995,5882.555434228276,ANE-ANW,"[6,8)"
eDNA18,eDNA26,-1.76916003727977,-0.59,Drift,eDNA18,eDNA26,0.08735501145946853,ANC,21.02490310370922,-34.595667,ANE,20.25656910985708,-14.5402,0.9126449885405314,0.7683339938521421,20.055467,1804.219051188883,ANC-ANE,"[0,1)"
eDNA19,eDNA26,-3.65255660564454,-0.87,Homogeneous Selection,eDNA19,eDNA26,0.12765672336862802,ANC,20.126926481723785,-32.055683,ANE,20.25656910985708,-14.5402,0.872343276631372,0.12964262813329341,17.515483000000003,1566.7404129543274,ANC-ANE,"[0,1)"
eDNA25,eDNA26,-3.51141576719261,-0.96,Homogeneous Selection,eDNA25,eDNA26,0.04579586341276292,ANE,19.737266153097153,-17.887783,ANE,20.25656910985708,-14.5402,0.9542041365872371,0.5193029567599261,3.3475829999999984,302.57574163742515,ANE-ANE,"[0,1)"
eDNA1,eDNA27,-1.96006512918082,1,Dispersal Limitation,eDNA1,eDNA27,0.5677852118178982,ANW,26.81560716032982,-77.936917,ANE,20.502670370042324,-11.687733,0.4322147881821018,6.312936790287495,66.249184,6129.913818290507,ANE-ANW,"[6,8)"
eDNA18,eDNA27,-3.22944521598116,-0.52,Homogeneous Selection,eDNA18,eDNA27,0.09031718696796817,ANC,21.02490310370922,-34.595667,ANE,20.502670370042324,-11.687733,0.9096828130320318,0.5222327336668968,22.907933999999997,2058.3650298297925,ANC-ANE,"[0,1)"
eDNA19,eDNA27,-4.93646777530371,-0.45,Homogeneous Selection,eDNA19,eDNA27,0.08742716939770295,ANC,20.126926481723785,-32.055683,ANE,20.502670370042324,-11.687733,0.9125728306022971,0.37574388831853867,20.36795,1818.1449616458092,ANC-ANE,"[0,1)"
eDNA25,eDNA27,-2.77658300964548,-0.99,Homogeneous Selection,eDNA25,eDNA27,0.07709271703723589,ANE,19.737266153097153,-17.887783,ANE,20.502670370042324,-11.687733,0.9229072829627641,0.7654042169451714,6.200049999999999,559.1374721255089,ANE-ANE,"[0,1)"
eDNA26,eDNA27,-2.53524713958528,-0.94,Homogeneous Selection,eDNA26,eDNA27,0.05126289169046257,ANE,20.25656910985708,-14.5402,ANE,20.502670370042324,-11.687733,0.9487371083095374,0.24610126018524525,2.8524670000000008,256.56487369644435,ANE-ANE,"[0,1)"
eDNA1,eDNA28,-2.2033701788825,1,Homogeneous Selection,eDNA1,eDNA28,0.5739764182962899,ANW,26.81560716032982,-77.936917,ANE,21.50245673954487,-7.874533,0.42602358170371013,5.31315042078495,70.062384,6466.900792034208,ANE-ANW,"[4,6)"
eDNA18,eDNA28,-3.03894246276505,-0.79,Homogeneous Selection,eDNA18,eDNA28,0.1506523405538294,ANC,21.02490310370922,-34.595667,ANE,21.50245673954487,-7.874533,0.8493476594461706,0.4775536358356476,26.721134,2401.0712948048626,ANC-ANE,"[0,1)"
eDNA19,eDNA28,-4.57238307320617,-0.29,Homogeneous Selection,eDNA19,eDNA28,0.12289492346003557,ANC,20.126926481723785,-32.055683,ANE,21.50245673954487,-7.874533,0.8771050765399644,1.375530257821083,24.181150000000002,2159.403779326341,ANC-ANE,"[1,2)"
eDNA25,eDNA28,-3.54850482459031,-0.84,Homogeneous Selection,eDNA25,eDNA28,0.14619246002596054,ANE,19.737266153097153,-17.887783,ANE,21.50245673954487,-7.874533,0.8538075399740395,1.7651905864477158,10.01325,901.7532229043558,ANE-ANE,"[1,2)"
eDNA26,eDNA28,-3.1115641134995,-0.4,Homogeneous Selection,eDNA26,eDNA28,0.11339511631743175,ANE,20.25656910985708,-14.5402,ANE,21.50245673954487,-7.874533,0.8866048836825683,1.2458876296877897,6.665667000000001,599.4024760658853,ANE-ANE,"[1,2)"
eDNA27,eDNA28,-3.74887938769291,-0.23,Homogeneous Selection,eDNA27,eDNA28,0.07066852766463214,ANE,20.502670370042324,-11.687733,ANE,21.50245673954487,-7.874533,0.9293314723353678,0.9997863695025444,3.8132,343.2056113548724,ANE-ANE,"[0,1)"
eDNA1,eDNA3,-2.08779926269865,1,Homogeneous Selection,eDNA1,eDNA3,0.41972747567865204,ANW,26.81560716032982,-77.936917,ANW,26.101474039256573,-75.508383,0.580272524321348,0.714133121073246,2.428533999999999,278.7312022948026,ANW-ANW,"[0,1)"
eDNA18,eDNA3,-2.85891499035428,0.96,Homogeneous Selection,eDNA18,eDNA3,0.6194462296934965,ANC,21.02490310370922,-34.595667,ANW,26.101474039256573,-75.508383,0.3805537703065035,5.076570935547352,40.912715999999996,3824.6719561845985,ANC-ANW,"[4,6)"
eDNA19,eDNA3,-2.94448788674015,1,Homogeneous Selection,eDNA19,eDNA3,0.6115658447769851,ANC,20.126926481723785,-32.055683,ANW,26.101474039256573,-75.508383,0.38843415522301494,5.974547557532787,43.45269999999999,4044.4073723413235,ANC-ANW,"[4,6)"
eDNA25,eDNA3,-2.33654127601064,1,Homogeneous Selection,eDNA25,eDNA3,0.572294285554214,ANE,19.737266153097153,-17.887783,ANW,26.101474039256573,-75.508383,0.427705714445786,6.36420788615942,57.620599999999996,5317.296016325873,ANE-ANW,"[6,8)"
eDNA26,eDNA3,-2.91357257884863,0.99,Homogeneous Selection,eDNA26,eDNA3,0.5557655082200271,ANE,20.25656910985708,-14.5402,ANW,26.101474039256573,-75.508383,0.4442344917799729,5.844904929399494,60.968182999999996,5606.9305426038545,ANE-ANW,"[4,6)"
eDNA27,eDNA3,-2.17644122489104,1,Homogeneous Selection,eDNA27,eDNA3,0.5184935157877725,ANE,20.502670370042324,-11.687733,ANW,26.101474039256573,-75.508383,0.4815064842122275,5.598803669214249,63.82064999999999,5853.749411378105,ANE-ANW,"[4,6)"
eDNA28,eDNA3,-2.58404651838751,0.99,Homogeneous Selection,eDNA28,eDNA3,0.5254647098688053,ANE,21.50245673954487,-7.874533,ANW,26.101474039256573,-75.508383,0.47453529013119466,4.599017299711704,67.63385,6190.281989682881,ANE-ANW,"[4,6)"
eDNA1,eDNA4,-2.31064055735755,1,Homogeneous Selection,eDNA1,eDNA4,0.3566961739515855,ANW,26.81560716032982,-77.936917,ANW,27.20014037936926,-74.85995,0.6433038260484145,0.38453321903944016,3.0769669999999962,362.95081453058395,ANW-ANW,"[0,1)"
eDNA18,eDNA4,-1.8036157582196,0.98,Dispersal Limitation,eDNA18,eDNA4,0.6133928958277252,ANC,21.02490310370922,-34.595667,ANW,27.20014037936926,-74.85995,0.38660710417227484,6.175237275660038,40.264283,3746.7032499148745,ANC-ANW,"[6,8)"
eDNA19,eDNA4,-1.9753807878331,1,Dispersal Limitation,eDNA19,eDNA4,0.6057364433108838,ANC,20.126926481723785,-32.055683,ANW,27.20014037936926,-74.85995,0.39426355668911617,7.0732138976454735,42.804266999999996,3965.0799275241397,ANC-ANW,"[6,8)"
eDNA25,eDNA4,-1.92391819601449,1,Dispersal Limitation,eDNA25,eDNA4,0.5692023714274771,ANE,19.737266153097153,-17.887783,ANW,27.20014037936926,-74.85995,0.4307976285725229,7.462874226272106,56.972167,5237.666158414946,ANE-ANW,"[6,8)"
eDNA26,eDNA4,-1.84437168368296,0.99,Dispersal Limitation,eDNA26,eDNA4,0.5653781278452119,ANE,20.25656910985708,-14.5402,ANW,27.20014037936926,-74.85995,0.4346218721547881,6.94357126951218,60.31975,5526.736863971302,ANE-ANW,"[6,8)"
eDNA27,eDNA4,-1.929662580091,1,Dispersal Limitation,eDNA27,eDNA4,0.5303710587014971,ANE,20.502670370042324,-11.687733,ANW,27.20014037936926,-74.85995,0.46962894129850286,6.697470009326935,63.172216999999996,5773.1391210143365,ANE-ANW,"[6,8)"
eDNA28,eDNA4,-1.82956149145201,1,Dispersal Limitation,eDNA28,eDNA4,0.5368738389403985,ANE,21.50245673954487,-7.874533,ANW,27.20014037936926,-74.85995,0.46312616105960147,5.69768363982439,66.985417,6109.298385122795,ANE-ANW,"[4,6)"
eDNA3,eDNA4,-4.30867110854336,0.37,Homogeneous Selection,eDNA3,eDNA4,0.0743636743723761,ANW,26.101474039256573,-75.508383,ANW,27.20014037936926,-74.85995,0.9256363256276239,1.0986663401126862,0.6484329999999972,85.54951479199698,ANW-ANW,"[1,2)"
eDNA1,eDNA6,-3.7358411726603,1,Homogeneous Selection,eDNA1,eDNA6,0.21492668483811336,ANW,26.81560716032982,-77.936917,ANW,24.7383953332901,-69.329683,0.7850733151618866,2.0772118270397186,8.607233999999991,869.0880432672395,ANW-ANW,"[2,4)"
