Module,Variable,rho,p_value,fdr
1,thetao,-0.9249999999999998,7.987462113818611e-7,9.345330673167776e-5
1,so,-0.6392857142857142,0.01028844661959416,0.05015617727052157
1,chl,-0.6535714285714285,0.00823037146363897,0.04585492672598856
1,o2,0.9107142857142856,2.3950208372070356e-6,1.13504745767393e-4
1,no3,-0.7428571428571428,0.00150948887823502,0.01471751656279152
1,po4,0.6999999999999998,0.00366606789880139,0.02859532961065086
1,si,-0.3071428571428571,0.2654726857102779,0.4198602674149841
1,Longitude.x,0.9071428571428568,3.0633105354938987e-6,1.13504745767393e-4
1,Latitude.x,0.9035714285714284,3.880504128799761e-6,1.13504745767393e-4
2,thetao,0.8142857142857141,2.1936582772710264e-4,0.00371490045712771
2,so,0.6178571428571428,0.01410392840648946,0.06116893713839169
2,chl,0.5428571428571428,0.03652182255483739,0.11548792537610744
2,o2,-0.7892857142857141,4.673267561781756e-4,0.00683465380910581
2,no3,0.5714285714285713,0.02606319337636288,0.09240586742528656
2,po4,-0.6714285714285714,0.0061277667888201,0.03983048412733065
2,si,0.1107142857142857,0.694462647207096,0.7965895070904925
2,Longitude.x,-0.7535714285714284,0.00117758302348882,0.01362410170540522
2,Latitude.x,-0.782142857142857,5.697096277734917e-4,0.00740622516105539
3,thetao,0.6428571428571428,0.00973994469559527,0.04954667519063685
3,so,0.42499999999999993,0.11429547548052216,0.24360483415388823
3,chl,0.5142857142857142,0.04983923347142063,0.1495177004142619
3,o2,-0.7107142857142855,0.00297899488680275,0.02489588583970873
3,no3,0.7499999999999999,0.00128089845093553,0.01362410170540522
3,po4,-0.8714285714285712,2.323647782163293e-5,5.437335810262106e-4
3,si,0.6892857142857142,0.00447373445090621,0.03078981945623687
3,Longitude.x,-0.5964285714285713,0.01893192468786508,0.07638052374069705
3,Latitude.x,-0.6178571428571428,0.01410392840648946,0.06116893713839169
4,thetao,0.2821428571428571,0.3082844568200556,0.4508660180993313
4,so,0.3535714285714285,0.19607167843419904,0.3760719078164146
4,chl,0.6642857142857143,0.00691068298451917,0.04254558105779056
4,o2,-0.44642857142857134,0.095293213153526235,0.21440972959543408
4,no3,0.24999999999999992,0.36884629178393047,0.5199399534785526
4,po4,-0.46428571428571425,0.08125098075549496,0.1967067428091707
4,si,0.31071428571428567,0.2596673973372179,0.4198602674149841
4,Longitude.x,0.04642857142857142,0.8694915255450947,0.9177086366661292
4,Latitude.x,-0.11785714285714284,0.6757115292213041,0.7840405300553269
