"Cluster","total_abundance","node_count","relative_within_network","relative_total_community"
"1",429945,154,0.636870639470293,0.62209351116873
"2",150952,117,0.223602778888741,0.218414587209858
"3",55342,61,0.0819772178524345,0.0800751237835069
"4",22170,124,0.0328400657690086,0.0320780870637192
"5",2456,16,0.0036380334473922,0.00355362119208364
"6",4698,70,0.00695907212371684,0.00679760275260951
"7",2644,37,0.00391651483505903,0.00382564105532132
"8",1264,15,0.00187234294686634,0.0018288995060235
"9",1344,14,0.00199084566502244,0.00194465263931613
"10",674,14,0.000998385400465123,0.000975220147990381
"11",899,20,0.00133167429527915,0.00130077583537589
"12",2234,33,0.00330918840450903,0.0032324062471966
"Others",468,10,0.000693240901213172,0.000677155829761867
