source,sink,connectivity,min_days,source_lon,source_lat,sink_lon,sink_lat
eDNA18,eDNA1,0.02040816326530612,345.25,-34.595667,35.790433,-77.936917,29.3007
eDNA18,eDNA19,0.12244897959183673,234.75,-34.595667,35.790433,-32.055683,36.996267
eDNA18,eDNA3,0.02040816326530612,280.75,-34.595667,35.790433,-75.508383,30.658967
eDNA18,eDNA4,0.02040816326530612,282.0,-34.595667,35.790433,-74.85995,31.189233
eDNA18,eDNA16,0.04081632653061224,235.0,-34.595667,35.790433,-40.685317,34.550283
eDNA18,eDNA17,0.20408163265306123,93.75,-34.595667,35.790433,-37.395217,35.448667
eDNA19,eDNA18,0.04081632653061224,145.0,-32.055683,36.996267,-34.595667,35.790433
eDNA19,eDNA3,0.02040816326530612,270.75,-32.055683,36.996267,-75.508383,30.658967
eDNA19,eDNA4,0.02040816326530612,255.25,-32.055683,36.996267,-74.85995,31.189233
eDNA19,eDNA9,0.02040816326530612,224.75,-32.055683,36.996267,-62.128333,31.99925
eDNA19,eDNA15,0.04081632653061224,206.5,-32.055683,36.996267,-44.0762,34.2134
eDNA19,eDNA16,0.02040816326530612,275.75,-32.055683,36.996267,-40.685317,34.550283
eDNA19,eDNA17,0.7959183673469388,58.75,-32.055683,36.996267,-37.395217,35.448667
eDNA25,eDNA26,0.061224489795918366,137.0,-17.887783,35.897133,-14.5402,36.136333
eDNA26,eDNA27,0.04081632653061224,147.75,-14.5402,36.136333,-11.687733,36.25035
eDNA3,eDNA1,0.08163265306122448,23.25,-75.508383,30.658967,-77.936917,29.3007
eDNA3,eDNA4,0.14285714285714285,16.75,-75.508383,30.658967,-74.85995,31.189233
eDNA4,eDNA3,0.10204081632653061,6.5,-74.85995,31.189233,-75.508383,30.658967
eDNA6,eDNA7,0.9387755102040817,9.0,-69.329683,31.755633,-67.287833,31.824817
eDNA6,eDNA9,0.061224489795918366,66.25,-69.329683,31.755633,-62.128333,31.99925
eDNA7,eDNA6,0.061224489795918366,100.0,-67.287833,31.824817,-69.329683,31.755633
eDNA7,eDNA9,0.4897959183673469,54.0,-67.287833,31.824817,-62.128333,31.99925
eDNA9,eDNA1,0.02040816326530612,108.75,-62.128333,31.99925,-77.936917,29.3007
eDNA15,eDNA1,0.02040816326530612,338.75,-44.0762,34.2134,-77.936917,29.3007
eDNA15,eDNA16,0.12244897959183673,56.0,-44.0762,34.2134,-40.685317,34.550283
eDNA17,eDNA15,0.02040816326530612,238.5,-37.395217,35.448667,-44.0762,34.2134
eDNA17,eDNA16,0.04081632653061224,106.75,-37.395217,35.448667,-40.685317,34.550283
