station,oceanic_sector,link_count,connectivity_sum
eDNA1,ANW,7,0.5510204081632653
eDNA15,ANC,8,0.2755102040816326
eDNA16,ANC,6,0.28061224489795916
eDNA17,ANC,7,0.6989795918367346
eDNA18,ANC,8,0.6938775510204082
eDNA19,ANC,9,0.423469387755102
eDNA25,ANE,4,0.19387755102040818
eDNA26,ANE,2,0.17346938775510207
eDNA27,ANE,3,0.030612244897959183
eDNA28,ANE,1,0.00510204081632653
eDNA3,ANW,8,0.8163265306122448
eDNA4,ANW,9,0.7295918367346939
eDNA6,ANW,9,0.5612244897959183
eDNA7,ANW,5,0.6785714285714286
eDNA9,ANW,8,0.3469387755102041
