Sample_ID,Sample_description,Day_of_navigation,Sampling_date,Oceanic_sector,Latitude_decimal_degrees,Longitude_decimal_degrees,thetao_degC,so_psu,uo_m_s,vo_m_s,zos_m,chl_mg_m3,o2_mmol_m3,no3_mmol_m3,po4_mmol_m3,si_mmol_m3
eDNA1,EDNA1,1,2022-05-23,ANW,29.3007,-77.936917,26.81560716032982,36.65730762295425,0.14893032610416412,-0.20996734499931335,0.3598132263869047,0.09561619907617568,209.53488159179688,0.0480227954685688,6.305456918198615e-5,2.8504061698913574
eDNA18,EDNA18,18,2022-06-09,ANC,35.790433,-34.595667,21.02490310370922,36.35364845395088,-0.03234962001442909,0.00854518264532089,-0.14130069874227047,0.06769315153360367,233.45806884765625,0.00503601133823394,0.02342984266579151,1.10195791721344
eDNA19,EDNA19,19,2022-06-10,ANC,36.996267,-32.055683,20.126926481723785,36.1873225774616,0.02807702869176864,0.05371257662773132,-0.16296884045004845,0.05773650854825973,235.67103576660156,0.00773926591500639,0.02643004804849624,1.1130931377410889
eDNA25,EDNA25,25,2022-06-23,ANE,35.897133,-17.887783,19.737266153097153,36.315500317141414,-0.02624591812491417,-0.2069154940545559,-0.2591021452099085,0.05593997985124588,235.6439971923828,0.00238483469001948,0.01989172026515007,1.189467191696167
eDNA26,EDNA26,26,2022-06-24,ANE,36.136333,-14.5402,20.25656910985708,36.51539655402303,-0.01403851434588432,-0.06775109097361565,-0.23712881840765476,0.06572362035512924,233.30160522460935,0.00424618925899267,0.00984593480825424,1.2061448097229004
eDNA27,EDNA27,27,2022-06-25,ANE,36.25035,-11.687733,20.502670370042324,36.47877434268594,6.103701889514923e-4,-0.04638813436031341,-0.31586657278239727,0.08443805575370789,231.39076232910156,0.00525733735412359,0.00718007376417517,1.1485093832015991
eDNA28,EDNA28,28,2022-06-26,ANE,36.0788,-7.874533,21.50245673954487,36.41926324926317,-0.12207403779029846,0.00915555283427238,-0.295724356546998,0.11673496663570404,227.21414184570312,0.00658585270866751,0.01219854317605495,1.147527098655701
eDNA3,EDNA3,3,2022-05-25,ANW,30.658967,-75.508383,26.101474039256573,36.58406320028007,-0.15259254723787308,0.1263466291129589,0.3473006375133991,0.09476234763860704,211.68463134765625,0.08353477716445923,7.493982411688194e-5,2.808828353881836
eDNA4,EDNA4,4,2022-05-26,ANW,31.189233,-74.85995,27.20014037936926,36.45435953512788,-0.3100680559873581,-0.05066072568297386,0.4800561536103487,0.0834675133228302,215.8350372314453,0.13886764645576477,4.503300806391053e-5,1.6257191896438599
eDNA6,EDNA6,6,2022-05-28,ANW,31.755633,-69.329683,24.7383953332901,36.68477428145707,-0.1757866144180298,0.03540147095918655,0.24964140728116035,0.09405244141817092,216.98240661621097,0.03513149544596672,5.6418237363686785e-5,1.1492174863815308
eDNA7,EDNA7,7,2022-05-29,ANW,31.824817,-67.287833,24.250587478280067,36.69545575976372,-0.02990813925862312,-0.10010071098804474,0.29847102239727974,0.0917140394449234,216.8168487548828,0.0157246608287096,4.805833668797277e-5,1.3913217782974243
eDNA9,EDNA9,9,2022-05-31,ANW,31.99925,-62.128333,23.814783163368705,36.65425577200949,-0.09765923023223876,-0.11413922533392906,0.1937925349920988,0.11286921799182892,219.90972900390625,0.01097539160400629,0.0014349507400766,0.8225693106651306
eDNA15,EDNA15,15,2022-06-06,ANC,34.2134,-44.0762,21.62990203499794,36.698507610708475,-0.13306070119142532,-0.04211554303765297,0.06134220398962498,0.07500193268060684,227.8861541748047,0.00248504197224974,0.01346655003726482,0.8505454659461975
eDNA16,EDNA16,16,2022-06-07,ANC,34.550283,-40.685317,21.18457594513893,36.50013729929924,0.09704886004328728,-0.07507553324103355,0.06897183135151863,0.0616312101483345,228.4216461181641,0.00272290990687906,0.01335517782717943,1.0670299530029297
eDNA17,EDNA17,17,2022-06-08,ANC,35.448667,-37.395217,20.84838404506445,36.503189150244,-0.04272591322660446,0.05432294681668281,0.01251258887350559,0.07571670413017273,232.7955322265625,0.00267097423784434,0.02109830826520919,1.083082914352417
