"Sample_ID","To_Sample","bNTI","RC_BC","Mechanism"
"eDNA1","eDNA18",-2.11446102889511,1,"Homogeneous Selection"
"eDNA1","eDNA19",-1.66789517095053,1,"Dispersal Limitation"
"eDNA18","eDNA19",-3.02448031481236,-0.94,"Homogeneous Selection"
"eDNA1","eDNA25",-1.79593970960524,1,"Dispersal Limitation"
"eDNA18","eDNA25",-2.68156009742998,-0.75,"Homogeneous Selection"
"eDNA19","eDNA25",-4.11059812801625,-0.84,"Homogeneous Selection"
"eDNA1","eDNA26",-1.49984343772777,1,"Dispersal Limitation"
"eDNA18","eDNA26",-1.76916003727977,-0.59,"Drift"
"eDNA19","eDNA26",-3.65255660564454,-0.87,"Homogeneous Selection"
"eDNA25","eDNA26",-3.51141576719261,-0.96,"Homogeneous Selection"
"eDNA1","eDNA27",-1.96006512918082,1,"Dispersal Limitation"
"eDNA18","eDNA27",-3.22944521598116,-0.52,"Homogeneous Selection"
"eDNA19","eDNA27",-4.93646777530371,-0.45,"Homogeneous Selection"
"eDNA25","eDNA27",-2.77658300964548,-0.99,"Homogeneous Selection"
"eDNA26","eDNA27",-2.53524713958528,-0.94,"Homogeneous Selection"
"eDNA1","eDNA28",-2.2033701788825,1,"Homogeneous Selection"
"eDNA18","eDNA28",-3.03894246276505,-0.79,"Homogeneous Selection"
"eDNA19","eDNA28",-4.57238307320617,-0.29,"Homogeneous Selection"
"eDNA25","eDNA28",-3.54850482459031,-0.84,"Homogeneous Selection"
"eDNA26","eDNA28",-3.1115641134995,-0.4,"Homogeneous Selection"
"eDNA27","eDNA28",-3.74887938769291,-0.23,"Homogeneous Selection"
"eDNA1","eDNA3",-2.08779926269865,1,"Homogeneous Selection"
"eDNA18","eDNA3",-2.85891499035428,0.96,"Homogeneous Selection"
"eDNA19","eDNA3",-2.94448788674015,1,"Homogeneous Selection"
"eDNA25","eDNA3",-2.33654127601064,1,"Homogeneous Selection"
"eDNA26","eDNA3",-2.91357257884863,0.99,"Homogeneous Selection"
"eDNA27","eDNA3",-2.17644122489104,1,"Homogeneous Selection"
"eDNA28","eDNA3",-2.58404651838751,0.99,"Homogeneous Selection"
"eDNA1","eDNA4",-2.31064055735755,1,"Homogeneous Selection"
"eDNA18","eDNA4",-1.8036157582196,0.98,"Dispersal Limitation"
"eDNA19","eDNA4",-1.9753807878331,1,"Dispersal Limitation"
"eDNA25","eDNA4",-1.92391819601449,1,"Dispersal Limitation"
"eDNA26","eDNA4",-1.84437168368296,0.99,"Dispersal Limitation"
"eDNA27","eDNA4",-1.929662580091,1,"Dispersal Limitation"
"eDNA28","eDNA4",-1.82956149145201,1,"Dispersal Limitation"
"eDNA3","eDNA4",-4.30867110854336,0.37,"Homogeneous Selection"
"eDNA1","eDNA6",-3.7358411726603,1,"Homogeneous Selection"
"eDNA18","eDNA6",-2.32472929484582,0.83,"Homogeneous Selection"
"eDNA19","eDNA6",-2.5791122822446,1,"Homogeneous Selection"
"eDNA25","eDNA6",-1.76321278753799,0.98,"Dispersal Limitation"
"eDNA26","eDNA6",-2.15877323367734,0.75,"Homogeneous Selection"
"eDNA27","eDNA6",-1.99009188721624,1,"Dispersal Limitation"
"eDNA28","eDNA6",-2.00162044467661,1,"Homogeneous Selection"
"eDNA3","eDNA6",-2.33587822928246,0.65,"Homogeneous Selection"
"eDNA4","eDNA6",-3.75235271216313,0.85,"Homogeneous Selection"
"eDNA1","eDNA7",-2.23381980910041,1,"Homogeneous Selection"
"eDNA18","eDNA7",-2.85326177164069,0.89,"Homogeneous Selection"
"eDNA19","eDNA7",-2.85637894662269,0.99,"Homogeneous Selection"
"eDNA25","eDNA7",-2.29532059967869,0.94,"Homogeneous Selection"
"eDNA26","eDNA7",-2.37974953249464,0.9,"Homogeneous Selection"
"eDNA27","eDNA7",-2.14100272953173,1,"Homogeneous Selection"
"eDNA28","eDNA7",-2.39462863752456,0.99,"Homogeneous Selection"
"eDNA3","eDNA7",-2.53720414681349,-0.6,"Homogeneous Selection"
"eDNA4","eDNA7",-2.58256873874637,-0.3,"Homogeneous Selection"
"eDNA6","eDNA7",-4.27674607656944,-0.12,"Homogeneous Selection"
"eDNA1","eDNA9",-2.70693367805241,1,"Homogeneous Selection"
"eDNA18","eDNA9",-4.3780148314266,0.76,"Homogeneous Selection"
"eDNA19","eDNA9",-4.1864058279619,0.99,"Homogeneous Selection"
"eDNA25","eDNA9",-4.01266453162756,0.93,"Homogeneous Selection"
"eDNA26","eDNA9",-4.55581440089709,0.93,"Homogeneous Selection"
"eDNA27","eDNA9",-4.24505678158715,1,"Homogeneous Selection"
"eDNA28","eDNA9",-4.66566865211803,0.96,"Homogeneous Selection"
"eDNA3","eDNA9",-3.2524612074836,-0.4,"Homogeneous Selection"
"eDNA4","eDNA9",-4.34628012333477,0.67,"Homogeneous Selection"
"eDNA6","eDNA9",-2.9500959375383,0.32,"Homogeneous Selection"
"eDNA7","eDNA9",-1.61656311305059,-0.65,"Drift"
"eDNA1","eDNA15",-1.35156063339496,1,"Dispersal Limitation"
"eDNA18","eDNA15",-4.04589268961822,-0.49,"Homogeneous Selection"
"eDNA19","eDNA15",-3.70639041586222,-0.01,"Homogeneous Selection"
"eDNA25","eDNA15",-4.05243527361071,-0.15,"Homogeneous Selection"
"eDNA26","eDNA15",-3.21896775595567,0.39,"Homogeneous Selection"
"eDNA27","eDNA15",-3.69134303961301,0.47,"Homogeneous Selection"
"eDNA28","eDNA15",-3.64631723677644,0.01,"Homogeneous Selection"
"eDNA3","eDNA15",-2.42679601164098,0.65,"Homogeneous Selection"
"eDNA4","eDNA15",-2.85475934426621,0.82,"Homogeneous Selection"
"eDNA6","eDNA15",-1.85390850882782,0.67,"Drift"
"eDNA7","eDNA15",-2.1357517849195,-0.51,"Homogeneous Selection"
"eDNA9","eDNA15",-3.34367454653423,-0.49,"Homogeneous Selection"
"eDNA1","eDNA16",-1.34082042810894,1,"Dispersal Limitation"
"eDNA18","eDNA16",-3.52707820611339,-0.88,"Homogeneous Selection"
"eDNA19","eDNA16",-4.23582089348374,-0.62,"Homogeneous Selection"
"eDNA25","eDNA16",-3.75274879851899,-0.56,"Homogeneous Selection"
"eDNA26","eDNA16",-2.774963006954,-0.49,"Homogeneous Selection"
"eDNA27","eDNA16",-3.44040987941636,-0.2,"Homogeneous Selection"
"eDNA28","eDNA16",-3.53525417521373,-0.22,"Homogeneous Selection"
"eDNA3","eDNA16",-2.58045244046003,0.46,"Homogeneous Selection"
"eDNA4","eDNA16",-2.63727800480153,0.62,"Homogeneous Selection"
"eDNA6","eDNA16",-1.82485176796437,0.24,"Drift"
